epoch,train_loss,train_l1,train_ssim_loss,train_perceptual,val_loss,lr,time_seconds
86,0.466431,0.040161,0.357994,0.682762,0.476929,0.000086,84.6
87,0.477875,0.042150,0.367339,0.683864,0.515630,0.000086,84.6
88,0.480199,0.041500,0.370553,0.681461,0.473111,0.000085,84.6
89,0.470749,0.042332,0.359926,0.684913,0.487170,0.000085,84.6
90,0.471455,0.041071,0.362664,0.677194,0.491411,0.000085,84.6
91,0.469126,0.040453,0.361158,0.675144,0.492199,0.000084,84.6
92,0.478611,0.041883,0.368526,0.682017,0.486401,0.000084,84.6
93,0.467169,0.040206,0.359347,0.676170,0.470186,0.000084,84.6
94,0.463942,0.041132,0.355188,0.676218,0.504790,0.000083,84.6
95,0.467122,0.040214,0.359330,0.675788,0.472311,0.000083,84.6
96,0.465760,0.040406,0.356933,0.684223,0.473741,0.000083,84.6
97,0.459169,0.039203,0.352242,0.677237,0.463738,0.000082,84.6
98,0.486462,0.043423,0.375277,0.677619,0.489493,0.000082,84.7
99,0.496935,0.048209,0.380350,0.683769,0.509873,0.000082,84.6
100,0.469627,0.040463,0.361777,0.673873,0.470532,0.000081,84.7
101,0.463376,0.040050,0.356137,0.671878,0.483759,0.000081,84.6
102,0.463618,0.039623,0.356345,0.676494,0.463840,0.000080,84.6
103,0.472177,0.041207,0.363436,0.675337,0.473081,0.000080,84.6
104,0.472394,0.041464,0.363482,0.674486,0.483332,0.000080,84.7
105,0.463418,0.039758,0.355900,0.677593,0.473309,0.000079,84.7
106,0.459658,0.039346,0.352085,0.682278,0.478316,0.000079,84.7
107,0.459125,0.039313,0.351396,0.684165,0.480199,0.000079,84.6
108,0.459906,0.039282,0.353332,0.672916,0.467591,0.000078,84.6
109,0.476030,0.045456,0.362806,0.677676,0.482929,0.000078,84.6
110,0.467106,0.040471,0.358446,0.681884,0.470768,0.000078,84.6
111,0.466597,0.040453,0.358466,0.676778,0.480607,0.000077,84.6
112,0.463603,0.040027,0.356048,0.675283,0.475380,0.000077,84.6
113,0.457096,0.039193,0.350589,0.673140,0.465645,0.000076,84.6
114,0.456366,0.039130,0.349848,0.673880,0.475127,0.000076,84.6
115,0.459379,0.039479,0.352993,0.669075,0.470394,0.000076,84.6
116,0.469122,0.042883,0.357802,0.684365,0.482835,0.000075,84.6
117,0.469337,0.040629,0.360719,0.679887,0.477383,0.000075,84.6
118,0.460257,0.039455,0.353133,0.676691,0.484684,0.000074,84.6
119,0.467351,0.040459,0.359248,0.676439,0.467291,0.000074,84.6
120,0.462005,0.039842,0.355130,0.670334,0.471936,0.000074,84.6
121,0.459489,0.040500,0.352096,0.668935,0.463029,0.000073,84.6
122,0.455681,0.038914,0.350003,0.667638,0.470516,0.000073,84.6
123,0.460440,0.039426,0.353616,0.673977,0.462433,0.000072,84.6
124,0.467711,0.040042,0.359962,0.677071,0.472705,0.000072,84.6
125,0.456465,0.038911,0.349433,0.681214,0.473816,0.000072,84.6
126,0.457099,0.039108,0.350143,0.678482,0.490583,0.000071,84.7
127,0.465239,0.039954,0.357814,0.674711,0.463266,0.000071,84.6
128,0.465502,0.040535,0.357877,0.670904,0.481448,0.000070,84.6
129,0.462056,0.039563,0.355167,0.673261,0.463656,0.000070,84.8
130,0.452872,0.038699,0.346913,0.672603,0.457962,0.000070,84.6
131,0.457626,0.039294,0.351060,0.672725,0.481366,0.000069,84.7
132,0.467580,0.040481,0.359874,0.672255,0.495899,0.000069,84.6
133,0.465919,0.040106,0.359141,0.666718,0.507930,0.000068,84.6
134,0.466421,0.041308,0.358376,0.667371,0.466209,0.000068,84.7
135,0.458438,0.039253,0.351673,0.675113,0.461002,0.000068,84.6
136,0.454917,0.038760,0.348961,0.671953,0.460142,0.000067,84.7
137,0.460179,0.039755,0.353539,0.668852,0.475506,0.000067,84.6
